,1mo,2mo,3mo,4mo,6mo,1y,2y,3y,5y,7y,10y,20y,30y,USDBRL,USDCOP,USDCLP,USDPEN,USDMXN,USDEUR,USDGBP,USDJPY,USDAUD,USDCHF
20y,0.8128406761434196,0.468501529051979,1.3751184595221344,2.8499378297543427,5.057257115972714,11.559149107772956,18.901592902510338,21.19596061430923,24.13863964781395,25.616093692240472,24.947568639311758,24.81868803978894,24.150572974426193,0.4011831756769619,-0.017950324090411116,0.18141771432587211,0.3085211243328327,0.13113022868376276,0.05320779724530647,0.18748208796677732,0.3243566795107474,0.09044016348432858,0.07927989987318498
30y,0.6499579930772577,0.285626911314978,1.0541183587055185,2.552663238901777,4.549658903787349,10.452666599455583,17.24651678596632,19.59996639446178,22.69859192794973,24.461262896125305,24.149195147360285,24.150572974426193,24.3381254830796,0.33925772629606366,-0.060985124913615386,0.167328235173799,0.2981560531645655,0.08215602206372917,0.05085973219250818,0.20750156404391656,0.3384514317254874,0.09213812069279545,0.08128118489714643
USDBRL,0.07001939095871067,0.04472278611278338,-0.005421489781899376,-0.0875993997422878,-0.05716676736050189,-0.10393263787938778,0.04137270702806846,0.07985746103862597,0.1954426261766446,0.2658270824831069,0.3205837732900421,0.4011831756769619,0.33925772629606366,0.4712223981565416,0.1575889091069475,0.034620957497165886,0.06249955384299013,0.15186055627227021,0.023652053160332115,0.02706543523032562,-0.036642112613187984,0.08583958662102378,-0.012930369419654185
USDCOP,0.039923912430106276,0.000718916962482873,-0.007519932170615932,-0.013352947822214809,0.0506270161674417,0.14254125874429643,0.08777164117270891,0.10154432987351232,0.09897423323362792,0.09137602741496763,0.03827907533440546,-0.017950324090411116,-0.060985124913615386,0.1575889091069475,0.6304157930954255,0.019885999919002254,0.10222204495350849,0.21154424649386053,0.005043727322417057,-0.0017544391839470978,-0.020416594053555632,0.013686988258938399,-0.01720688218359489
USDCLP,0.027918003611303525,0.015174794752072474,0.13491706837662187,0.08678211458867366,0.1607490096144643,0.22179528424657555,0.21771842919513149,0.2326871534319729,0.247562373332781,0.24351533599717287,0.2161389865409041,0.18141771432587211,0.167328235173799,0.034620957497165886,0.019885999919002254,0.4747969775143176,0.02431071330291566,0.00554951229378525,0.09151468331653301,0.0945263001332305,0.09119107745360096,0.17079905721413088,0.07536721758610787
USDPEN,0.0349665779989114,-0.016809023864788823,0.030070999033157648,0.040381822580564976,0.08377585966377199,0.2652508855434751,0.43081705536756093,0.46461314739240583,0.4519580303556127,0.44099329907435947,0.38806662318949653,0.3085211243328327,0.2981560531645655,0.06249955384299013,0.10222204495350849,0.02431071330291566,0.1267820282815069,0.08683581862186378,0.017043228103607228,0.014242779359291212,0.019361962874793005,0.012947905017036352,0.018738675089617133
USDMXN,-0.045144974472528104,0.05336940447686093,0.022826555486668357,-0.07956672694351112,-0.06724100675245064,0.060504661283926044,0.15129098376150854,0.20139226637496616,0.16111978154654694,0.1901052159381228,0.17763140623195522,0.13113022868376276,0.08215602206372917,0.15186055627227021,0.21154424649386053,0.00554951229378525,0.08683581862186378,0.4887430566667119,0.012728454331059005,0.01010470160651357,-0.04087371201760314,0.004307153945982353,-0.0031704182168395306
USDEUR,0.06365303099961316,-0.0034305934389356908,0.0020330881489082834,0.0012194807743765522,0.018379778718510827,0.09292445105094115,0.14984229755250145,0.1633839101340849,0.12384985715373106,0.12433239488816734,0.08574055236175682,0.05320779724530647,0.05085973219250818,0.023652053160332115,0.005043727322417057,0.09151468331653301,0.017043228103607228,0.012728454331059005,0.20227515430784887,0.15822750262128385,0.16349543461498253,0.1698687705903105,0.18395642203890783
USDGBP,0.050164960270070405,0.035493135949450846,-0.013967802241648408,0.003020895376022441,0.0024957596944876074,0.018319168426454584,0.14737518856623216,0.1742425712873228,0.18661813802448876,0.22393090821025075,0.19260653836786273,0.18748208796677732,0.20750156404391656,0.02706543523032562,-0.0017544391839470978,0.0945263001332305,0.014242779359291212,0.01010470160651357,0.15822750262128385,0.1947782533062815,0.13701165668288814,0.1789981365847793,0.1370449247912636
USDJPY,0.09992788611754927,0.01841055065714566,-0.00663346292301214,0.02171135180230103,0.054257466048442136,0.25963907726712987,0.39163827148337343,0.41894058539124907,0.4028999123161109,0.4061036980241168,0.3512317561922722,0.3243566795107474,0.3384514317254874,-0.036642112613187984,-0.020416594053555632,0.09119107745360096,0.019361962874793005,-0.04087371201760314,0.16349543461498253,0.13701165668288814,0.4016553313225029,0.12405441103565948,0.22267113561447432
USDAUD,0.031403884170988224,0.005994930166721503,-0.08284006373656676,-0.10168921820753517,-0.14629230067805146,-0.22622899513439423,-0.17189762639023004,-0.06036795652248692,-0.02853681620464085,0.04179810337943345,0.06172861779707731,0.09044016348432858,0.09213812069279545,0.08583958662102378,0.013686988258938399,0.17079905721413088,0.012947905017036352,0.004307153945982353,0.1698687705903105,0.1789981365847793,0.12405441103565948,0.36709498685671393,0.12310773996600974
USDCHF,0.09951404944865436,-0.003555618611446838,0.02392852221867509,0.07188835504175342,0.0893152303788933,0.23886616907180983,0.3034776105144809,0.2966233796624645,0.26200554961854144,0.23824328183906782,0.16360566698550658,0.07927989987318498,0.08128118489714643,-0.012930369419654185,-0.01720688218359489,0.07536721758610787,0.018738675089617133,-0.0031704182168395306,0.18395642203890783,0.1370449247912636,0.22267113561447432,0.12310773996600974,0.27295133647247194
